date,openings
12/1/2000,3.1
1/1/2001,4.1
2/1/2001,3.6
3/1/2001,3.3
4/1/2001,3.7
5/1/2001,3.3
6/1/2001,3.1
7/1/2001,3.6
8/1/2001,3
9/1/2001,2.9
10/1/2001,2.9
11/1/2001,2.5
12/1/2001,2.2
1/1/2002,3
2/1/2002,2.4
3/1/2002,2.6
4/1/2002,2.9
5/1/2002,2.6
6/1/2002,2.5
7/1/2002,2.8
8/1/2002,2.7
9/1/2002,2.4
10/1/2002,2.8
11/1/2002,2.3
12/1/2002,1.9
1/1/2003,2.8
2/1/2003,2.3
3/1/2003,2.2
4/1/2003,2.7
5/1/2003,2.5
6/1/2003,2.5
7/1/2003,2.5
8/1/2003,2.5
9/1/2003,2.3
10/1/2003,2.6
11/1/2003,2.2
12/1/2003,2.1
1/1/2004,2.7
2/1/2004,2.5
3/1/2004,2.5
4/1/2004,2.9
5/1/2004,2.8
6/1/2004,2.4
7/1/2004,3.1
8/1/2004,2.7
9/1/2004,2.8
10/1/2004,3
11/1/2004,2.3
12/1/2004,2.5
1/1/2005,2.9
2/1/2005,2.8
3/1/2005,2.9
4/1/2005,3.4
5/1/2005,2.8
6/1/2005,2.9
7/1/2005,3.3
8/1/2005,3.1
9/1/2005,3.1
10/1/2005,3.1
11/1/2005,2.8
12/1/2005,2.7
1/1/2006,3.3
2/1/2006,3
3/1/2006,3.3
4/1/2006,3.8
5/1/2006,3.2
6/1/2006,3.2
7/1/2006,3.4
8/1/2006,3.4
9/1/2006,3.3
10/1/2006,3.4
11/1/2006,3
12/1/2006,2.9
1/1/2007,3.4
2/1/2007,3.2
3/1/2007,3.4
4/1/2007,3.6
5/1/2007,3.3
6/1/2007,3.3
7/1/2007,3.4
8/1/2007,3.3
9/1/2007,3.3
10/1/2007,3.4
11/1/2007,3
12/1/2007,2.8
1/1/2008,3.3
2/1/2008,2.9
3/1/2008,2.9
4/1/2008,3.1
5/1/2008,3
6/1/2008,2.6
7/1/2008,2.8
8/1/2008,2.7
9/1/2008,2.3
10/1/2008,2.5
11/1/2008,2.1
12/1/2008,2
1/1/2009,2.1
2/1/2009,2
3/1/2009,1.8
4/1/2009,1.9
