date,quits
12/1/2000,1.7
1/1/2001,2.6
2/1/2001,1.9
3/1/2001,2
4/1/2001,2.5
5/1/2001,2.2
6/1/2001,2.2
7/1/2001,2.6
8/1/2001,2.8
9/1/2001,2.2
10/1/2001,2.2
11/1/2001,1.6
12/1/2001,1.6
1/1/2002,2.3
2/1/2002,1.6
3/1/2002,1.6
4/1/2002,2.1
5/1/2002,1.9
6/1/2002,1.9
7/1/2002,2.4
8/1/2002,2.5
9/1/2002,2.1
10/1/2002,1.9
11/1/2002,1.5
12/1/2002,1.5
1/1/2003,2
2/1/2003,1.5
3/1/2003,1.5
4/1/2003,1.8
5/1/2003,1.8
6/1/2003,1.8
7/1/2003,2.1
8/1/2003,2.2
9/1/2003,2
10/1/2003,1.9
11/1/2003,1.5
12/1/2003,1.5
1/1/2004,1.9
2/1/2004,1.5
3/1/2004,1.7
4/1/2004,2
5/1/2004,1.8
6/1/2004,2.1
7/1/2004,2.4
8/1/2004,2.5
9/1/2004,2.1
10/1/2004,2
11/1/2004,1.8
12/1/2004,1.6
1/1/2005,2.2
2/1/2005,1.6
3/1/2005,1.8
4/1/2005,2.1
5/1/2005,2.1
6/1/2005,2.1
7/1/2005,2.4
8/1/2005,2.8
9/1/2005,2.4
10/1/2005,2.2
11/1/2005,1.8
12/1/2005,1.7
1/1/2006,2.3
2/1/2006,1.8
3/1/2006,1.9
4/1/2006,2.1
5/1/2006,2.2
6/1/2006,2.3
7/1/2006,2.6
8/1/2006,2.8
9/1/2006,2.3
10/1/2006,2.3
11/1/2006,1.9
12/1/2006,1.8
1/1/2007,2.2
2/1/2007,1.7
3/1/2007,1.9
4/1/2007,2.1
5/1/2007,2.2
6/1/2007,2.2
7/1/2007,2.5
8/1/2007,2.7
9/1/2007,2.1
10/1/2007,2.2
11/1/2007,1.7
12/1/2007,1.7
1/1/2008,2.1
2/1/2008,1.7
3/1/2008,1.7
4/1/2008,2.1
5/1/2008,1.9
6/1/2008,2
7/1/2008,2.1
8/1/2008,2.3
9/1/2008,2
10/1/2008,1.8
11/1/2008,1.3
12/1/2008,1.3
1/1/2009,1.5
2/1/2009,1.1
3/1/2009,1.2
4/1/2009,1.3
5/1/2009,1.3
6/1/2009,1.4
7/1/2009,1.5
8/1/2009,1.7
9/1/2009,1.4
10/1/2009,1.3
11/1/2009,1.1
12/1/2009,1.1
1/1/2010,1.3
2/1/2010,1.1
3/1/2010,1.2
4/1/2010,1.5
5/1/2010,1.4
6/1/2010,1.6
7/1/2010,1.6
8/1/2010,1.9
9/1/2010,1.6
10/1/2010,1.5
11/1/2010,1.1
12/1/2010,1.2
1/1/2011,1.4
2/1/2011,1.2
3/1/2011,1.4
4/1/2011,1.4
5/1/2011,1.5
6/1/2011,1.6
7/1/2011,1.7
8/1/2011,2
9/1/2011,1.7
10/1/2011,1.5
11/1/2011,1.2
12/1/2011,1.2
1/1/2012,1.5
2/1/2012,1.3
3/1/2012,1.4
4/1/2012,1.6
5/1/2012,1.6
6/1/2012,1.7
7/1/2012,1.8
8/1/2012,2
9/1/2012,1.6
10/1/2012,1.5
11/1/2012,1.2
12/1/2012,1.2
1/1/2013,1.7
2/1/2013,1.4
3/1/2013,1.4
4/1/2013,1.7
5/1/2013,1.7
6/1/2013,1.7
7/1/2013,2
8/1/2013,2.2
9/1/2013,1.8
10/1/2013,1.8
11/1/2013,1.4
12/1/2013,1.4
1/1/2014,1.7
2/1/2014,1.4
3/1/2014,1.6
4/1/2014,1.8
5/1/2014,1.8
6/1/2014,1.9
7/1/2014,2.2
8/1/2014,2.4
9/1/2014,2.1
10/1/2014,2
11/1/2014,1.5
12/1/2014,1.5
1/1/2015,2
2/1/2015,1.6
3/1/2015,1.8
4/1/2015,1.9
5/1/2015,2
6/1/2015,2.1
7/1/2015,2.2
8/1/2015,2.6
9/1/2015,2.1
10/1/2015,2
11/1/2015,1.7
12/1/2015,1.8
1/1/2016,2
2/1/2016,1.7
3/1/2016,1.9
4/1/2016,2
5/1/2016,2.2
6/1/2016,2.2
7/1/2016,2.3
8/1/2016,2.6
9/1/2016,2.2
10/1/2016,2.2
11/1/2016,1.7
12/1/2016,1.7
